,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
0,6300,toyota,cruiser,2008,clean vehicle,274117,black,  jtezu11f88k007763,159348797,new jersey, usa,10 days left
1,2899,ford,se,2011,clean vehicle,190552,silver,  2fmdk3gc4bbb02217,166951262,tennessee, usa,6 days left
2,5350,dodge,mpv,2018,clean vehicle,39590,silver,  3c4pdcgg5jt346413,167655728,georgia, usa,2 days left
3,25000,ford,door,2014,clean vehicle,64146,blue,  1ftfw1et4efc23745,167753855,virginia, usa,22 hours left
4,27700,chevrolet,1500,2018,clean vehicle,6654,red,  3gcpcrec2jg473991,167763266,florida, usa,22 hours left
5,5700,dodge,mpv,2018,clean vehicle,45561,white,  2c4rdgeg9jr237989,167655771,texas, usa,2 days left
6,7300,chevrolet,pk,2010,clean vehicle,149050,black,  1gcsksea1az121133,167753872,georgia, usa,22 hours left
7,13350,gmc,door,2017,clean vehicle,23525,gray,  1gks2gkc3hr326762,167692494,california, usa,20 hours left
8,14600,chevrolet,malibu,2018,clean vehicle,9371,silver,  1g1zd5st5jf191860,167763267,florida, usa,22 hours left
9,5250,ford,mpv,2017,clean vehicle,63418,black,  2fmpk3j92hbc12542,167656121,texas, usa,2 days left
10,10400,dodge,coupe,2009,clean vehicle,107856,orange,  2b3lj54t49h509675,167753874,georgia, usa,22 hours left
11,12920,gmc,mpv,2017,clean vehicle,39650,white,  1gks2bkc6hr136280,167692496,california, usa,20 hours left
12,31900,chevrolet,1500,2018,clean vehicle,22909,black,  3gcukrec0jg176059,167763273,tennessee, usa,22 hours left
13,5430,chrysler,wagon,2017,clean vehicle,138650,gray,  2c4rc1cg5hr616095,167656123,texas, usa,2 days left
14,20700,ford,door,2013,clean vehicle,100757,black,  1ftfw1et7dfa47790,167753916,virginia, usa,22 hours left
15,12710,gmc,door,2017,clean vehicle,25747,white,  1gks2gkc6hr328389,167692497,california, usa,20 hours left
16,5200,kia,forte,2018,clean vehicle,46194,blue,  3kpfk4a77je198723,167801757,north carolina, usa,2 days left
17,16500,buick,encore,2018,clean vehicle,20002,red,  kl4cj1sb6jb688844,167763275,tennessee, usa,22 hours left
18,5210,ford,mpv,2017,clean vehicle,35714,white,  2fmpk3j95hbb73607,167656124,texas, usa,2 days left
19,38100,ford,door,2013,clean vehicle,54380,gray,  1ft8w3dt5deb68569,167753923,virginia, usa,22 hours left
20,12520,gmc,door,2017,clean vehicle,30114,white,  1gks2gkcxhr328380,167692498,california, usa,20 hours left
21,7300,kia,forte,2018,clean vehicle,38823,black,  3kpfl4a79je272611,167801773,north carolina, usa,2 days left
22,15000,chevrolet,door,2015,clean vehicle,61578,black,  2gnflhe33f6214023,167763280,ohio, usa,2 days left
23,6180,ford,mpv,2017,clean vehicle,46010,blue,  2fmpk3j84hbc09276,167656125,texas, usa,2 days left
24,20800,ford,door,2013,clean vehicle,105510,silver,  1ftfw1efxdfa01008,167753937,virginia, usa,22 hours left
25,11900,gmc,door,2017,clean vehicle,28040,silver,  1gks2gkc2hr327918,167692503,california, usa,20 hours left
26,21500,kia,sorento,2020,clean vehicle,11451,blue,  5xypg4a59lg616029,167801828,north carolina, usa,2 days left
27,12000,buick,door,2014,clean vehicle,31039,brown,  1g4ps5sk1e4188639,167763299,ohio, usa,2 days left
28,4190,ford,doors,2017,clean vehicle,44174,white,  1fadp5auxhl109013,167656126,texas, usa,2 days left
29,13000,ford,chassis,2008,clean vehicle,93698,white,  1fdwf37r28eb95687,167754098,tennessee, usa,22 hours left
30,12710,gmc,door,2017,clean vehicle,26364,silver,  1gks2gkc6hr326335,167692504,california, usa,20 hours left
31,18500,infiniti,q70,2016,clean vehicle,71967,gray,  jn1by1ar7gm271292,167801920,new york, usa,19 hours left
32,29800,chevrolet,camaro,1973,clean vehicle,46226,red,  1q87t3n166389,167763370,pennsylvania, usa,22 hours left
33,5330,ford,mpv,2017,clean vehicle,37792,no_color,  2fmpk3j9xhbb56401,167656127,texas, usa,2 days left
34,13000,ford,convertible,2003,clean vehicle,58817,gray,  1fahp60a63y107799,167754173,virginia, usa,22 hours left
35,11900,gmc,door,2017,clean vehicle,27965,black,  1gks2gkc2hr328793,167692507,california, usa,20 hours left
36,16600,mercedes-benz,vans,2016,clean vehicle,110907,white,  8btpe7dd4ge127040,167802259,new york, usa,19 hours left
37,19200,chevrolet,1500,2018,clean vehicle,2430,white,  1gcncneh5jz302471,167763391,tennessee, usa,22 hours left
38,7320,ford,mpv,2017,clean vehicle,32366,gold,  2fmpk4k96hbb16692,167656128,texas, usa,2 days left
39,7000,ford,pk,2003,clean vehicle,176567,white,  1ftnx20p73ed69682,167754187,tennessee, usa,22 hours left
40,12710,gmc,door,2017,clean vehicle,30049,white,  1gks2gkc6hr325461,167692508,california, usa,20 hours left
41,16600,mercedes-benz,vans,2016,clean vehicle,97983,white,  wd4pe7dd1gp253504,167802269,new york, usa,19 hours left
42,30500,chevrolet,1500,2018,clean vehicle,30442,red,  3gcukrec4jg204915,167763393,tennessee, usa,22 hours left
43,6330,ford,mpv,2017,clean vehicle,38123,red,  2fmpk3j85hbb79415,167656129,texas, usa,2 days left
44,55000,ford,srw,2017,clean vehicle,15273,black,  1ft7w3bt5hee88155,167754310,pennsylvania, usa,3 days left
45,12520,gmc,door,2017,clean vehicle,28972,black,  1gks2gkcxhr324555,167692509,california, usa,20 hours left
46,16200,jeep,compass,2019,clean vehicle,30061,red,  3c4njccb3kt676336,167802530,north carolina, usa,2 days left
47,19000,chevrolet,malibu,2017,clean vehicle,18414,white,  1g1zh5sx9hf118136,167763675,tennessee, usa,22 hours left
48,5580,dodge,mpv,2017,clean vehicle,46829,gray,  3c4pddeg7ht595704,167656130,texas, usa,2 days left
49,54000,ford,srw,2017,clean vehicle,26241,black,  1ft7w3bt0hef02785,167754311,pennsylvania, usa,3 days left
50,12710,gmc,mpv,2017,clean vehicle,39886,red,  1gks2bkc7hr133811,167692513,california, usa,20 hours left
51,16000,jeep,compass,2019,clean vehicle,31594,silver,  3c4njccb0kt676343,167802531,north carolina, usa,2 days left
52,27000,buick,enclave,2017,clean vehicle,32107,no_color,  5gakrckdxhj113512,167763677,tennessee, usa,22 hours left
53,7760,ford,mpv,2017,clean vehicle,44794,gray,  2fmpk4j87hbb21750,167656131,texas, usa,2 days left
54,19600,chrysler,300,2019,clean vehicle,42648,gray,  2c3ccabgxkh559658,167754404,south carolina, usa,22 hours left
55,12920,gmc,mpv,2017,clean vehicle,39165,silver,  1gks2bkc6hr134450,167692514,california, usa,20 hours left
56,20000,jeep,cherokee,2019,clean vehicle,38355,charcoal,  1c4pjmbx6kd298806,167802532,north carolina, usa,2 days left
57,18100,buick,door,2017,clean vehicle,46766,silver,  1g4zp5ss8hu149142,167763681,florida, usa,2 days left
58,23000,chrysler,pacifica,2020,clean vehicle,2473,white,  2c4rc1fg5lr143335,167656205,ohio, usa,2 days left
59,18500,chrysler,300,2019,clean vehicle,38586,gray,  2c3ccaeg5kh585628,167754410,south carolina, usa,22 hours left
60,13490,gmc,door,2017,clean vehicle,27842,white,  1gks2gkc0hr323625,167692515,california, usa,20 hours left
61,20700,jeep,cherokee,2019,clean vehicle,31156,white,  1c4pjmbx2kd360704,167802533,north carolina, usa,2 days left
62,17800,chevrolet,door,2017,clean vehicle,52435,black,  1g1fb1rsxh0185712,167763683,florida, usa,22 hours left
63,6650,ford,door,2017,clean vehicle,29942,black,  1fmcu0gd8huc93883,167656254,texas, usa,2 days left
64,29100,chrysler,pacifica,2019,clean vehicle,25281,red,  2c4rc1gg3kr730663,167754412,south carolina, usa,22 hours left
65,12710,gmc,door,2017,clean vehicle,32504,silver,  1gks2gkc6hr327937,167692524,california, usa,20 hours left
66,21100,jeep,cherokee,2019,clean vehicle,28649,silver,  1c4pjmbx6kd298174,167802534,north carolina, usa,2 days left
67,18600,chevrolet,door,2017,clean vehicle,35200,white,  1g1fb1rsxh0104806,167763684,florida, usa,22 hours left
68,4340,ford,door,2017,clean vehicle,25602,silver,  1fmcu0gd7huc86259,167656255,texas, usa,2 days left
69,19300,chrysler,300,2019,clean vehicle,34801,gray,  2c3ccakg4kh594972,167754413,south carolina, usa,22 hours left
70,12780,gmc,door,2017,clean vehicle,31009,black,  1gks2gkc7hr321306,167692525,california, usa,20 hours left
71,15800,jeep,compass,2019,clean vehicle,35595,charcoal,  3c4njccb4kt662767,167802541,north carolina, usa,2 days left
72,29400,bmw,x3,2017,clean vehicle,23765,black,  5uxwx7c3xh0u44145,167763685,tennessee, usa,22 hours left
73,4430,ford,door,2017,clean vehicle,31792,black,  1fmcu0gd9huc37922,167656256,texas, usa,2 days left
74,19400,chrysler,300,2019,clean vehicle,33135,gray,  2c3ccakg6kh578112,167754417,south carolina, usa,22 hours left
75,12520,gmc,door,2017,clean vehicle,30636,red,  1gks2gkcxhr323969,167692526,california, usa,20 hours left
76,15900,jeep,compass,2019,clean vehicle,34502,red,  3c4njccb7kt660088,167802543,north carolina, usa,2 days left
77,26400,buick,door,2017,clean vehicle,25434,white,  5gakvckd2hj308564,167763690,florida, usa,22 hours left
78,4140,ford,door,2017,clean vehicle,36732,black,  1fmcu0gd5hud08310,167656257,texas, usa,2 days left
79,18300,chrysler,300,2019,clean vehicle,41792,gray,  2c3ccaeg0kh555632,167754420,south carolina, usa,22 hours left
80,12520,gmc,door,2017,clean vehicle,31992,black,  1gks2gkcxhr328718,167692527,california, usa,20 hours left
81,17900,jeep,compass,2019,clean vehicle,32501,red,  3c4njddb7kt682015,167802544,north carolina, usa,2 days left
82,18300,chevrolet,camaro,2017,clean vehicle,28395,black,  1g1fb3dx5h0143964,167763691,florida, usa,22 hours left
83,4640,ford,door,2017,clean vehicle,36139,blue,  1fmcu0g95huc13712,167656258,texas, usa,2 days left
84,24000,ford,door,2016,clean vehicle,84413,black,  1ftfw1ef1gfb13670,167754527,pennsylvania, usa,3 days left
85,13200,gmc,door,2017,clean vehicle,33457,white,  1gks2gkc5hr326410,167692528,california, usa,20 hours left
86,18000,jeep,compass,2019,clean vehicle,29245,gray,  3c4njddb0kt686052,167802545,north carolina, usa,2 days left
87,14900,chevrolet,equinox,2017,clean vehicle,12783,silver,  2gnalcek7h1548351,167763692,florida, usa,22 hours left
88,4140,ford,door,2017,clean vehicle,17617,white,  1fmcu0gd5huc78080,167656259,texas, usa,2 days left
89,11500,ford,door,2016,clean vehicle,36855,black,  1fmcu9gx9gua57286,167754531,pennsylvania, usa,2 days left
90,9110,ford,door,2017,clean vehicle,110316,white,  1ftfw1ef5hkc50264,167656356,texas, usa,2 days left
91,7350,chrysler,door,2015,clean vehicle,88227,black,  1c3cccab7fn613884,167755375,pennsylvania, usa,2 days left
92,24500,bmw,door,2017,clean vehicle,17626,gray,  wba4f9c51hg439932,167765094,michigan, usa,2 days left
93,9300,ford,door,2017,clean vehicle,120353,white,  1ftfw1ef4hkc50286,167656357,texas, usa,2 days left
94,39800,dodge,challenger,2015,clean vehicle,3641,white,  2c3cdzc95fh757310,167755377,pennsylvania, usa,2 days left
95,53500,bmw,m,2017,clean vehicle,29355,blue,  5ymkt6c37h0x20696,167765095,michigan, usa,2 days left
96,15110,ford,door,2017,clean vehicle,39333,black,  1ft7w2bt7hec41164,167656358,texas, usa,2 days left
97,34000,ford,door,2015,clean vehicle,42930,white,  1ft8w3b61fec52078,167755448,pennsylvania, usa,2 days left
98,26502,chevrolet,colorado,2017,clean vehicle,24993,black,  1gcgtcen4h1158648,167765108,michigan, usa,20 hours left
99,5990,ford,mpv,2017,clean vehicle,44929,black,  1fm5k7b86hga87008,167656359,texas, usa,2 days left
100,13600,ford,focus,2018,clean vehicle,16971,black,  1fadp3m26jl307477,167755490,south carolina, usa,21 hours left
101,23605,cadillac,door,2017,clean vehicle,35598,gray,  1gyknbrsxhz114969,167765109,michigan, usa,2 days left
102,10780,ford,mpv,2017,clean vehicle,40455,white,  1fm5k8ht0hga07252,167656360,texas, usa,2 days left
103,13800,ford,focus,2018,clean vehicle,23164,white,  1fadp3j2xjl279400,167755491,south carolina, usa,21 hours left
104,25201,cadillac,door,2017,clean vehicle,19011,no_color,  1gyknbrs8hz257399,167765111,michigan, usa,2 days left
